Gene stable ID	Gene name	Human gene stable ID	Human gene name	Human homology type	Human orthology confidence [0 low, 1 high]
ENSMUSG00000036019	Tmtc2	ENSG00000179104	TMTC2	ortholog_one2one	1
ENSMUSG00000044186	Nkx2-6	ENSG00000180053	NKX2-6	ortholog_one2one	1
ENSMUSG00000036585	Fgf1	ENSG00000113578	FGF1	ortholog_one2one	1
ENSMUSG00000044026	Slc35g1	ENSG00000176273	SLC35G1	ortholog_one2one	1
ENSMUSG00000020205	Phlda1	ENSG00000139289	PHLDA1	ortholog_one2one	1
ENSMUSG00000118474	Gm10972				
ENSMUSG00000065738	Gm24494	ENSG00000207241	SNORD45A	ortholog_one2one	1
ENSMUSG00000048022	Tmem229a	ENSG00000234224	TMEM229A	ortholog_one2one	1
ENSMUSG00000090877	Hspa1b	ENSG00000204388	HSPA1B	ortholog_many2many	1
ENSMUSG00000090877	Hspa1b	ENSG00000204389	HSPA1A	ortholog_many2many	1
ENSMUSG00000091971	Hspa1a	ENSG00000204388	HSPA1B	ortholog_many2many	1
ENSMUSG00000091971	Hspa1a	ENSG00000204389	HSPA1A	ortholog_many2many	1
ENSMUSG00000019558	Slc6a8	ENSG00000130821	SLC6A8	ortholog_one2many	1
ENSMUSG00000019558	Slc6a8	ENSG00000273554		ortholog_one2many	1
ENSMUSG00000041225	Arhgap12	ENSG00000165322	ARHGAP12	ortholog_one2one	1
ENSMUSG00000064441	Snord37	ENSG00000206775	SNORD37	ortholog_one2one	1
ENSMUSG00000054206	Gzmm	ENSG00000197540	GZMM	ortholog_one2one	1
ENSMUSG00000031320	Rps4x	ENSG00000198034	RPS4X	ortholog_one2one	1
ENSMUSG00000043705	Capn13	ENSG00000162949	CAPN13	ortholog_one2one	1
ENSMUSG00000067377	Tspan6	ENSG00000000003	TSPAN6	ortholog_one2one	1
ENSMUSG00000031297	Slc7a3	ENSG00000165349	SLC7A3	ortholog_one2one	1
ENSMUSG00000051397	Tacstd2	ENSG00000184292	TACSTD2	ortholog_one2one	1
ENSMUSG00000092837	Rpph1				
ENSMUSG00000030208	Emp1	ENSG00000134531	EMP1	ortholog_one2one	1
ENSMUSG00000034457	Eda2r	ENSG00000131080	EDA2R	ortholog_one2one	1
ENSMUSG00000028262	Clca3a2				
ENSMUSG00000042834	Nrep	ENSG00000134986	NREP	ortholog_one2one	1
ENSMUSG00000074195	Clca4b	ENSG00000016602	CLCA4	ortholog_one2many	1
ENSMUSG00000035776	Cd99l2	ENSG00000102181	CD99L2	ortholog_one2one	1
ENSMUSG00000033446	Lpar6	ENSG00000139679	LPAR6	ortholog_one2one	1
ENSMUSG00000041035	Dpcd	ENSG00000166171	DPCD	ortholog_one2one	1
ENSMUSG00000025068	Gsto1	ENSG00000148834	GSTO1	ortholog_one2one	1
ENSMUSG00000074445	Sprr2a3				
ENSMUSG00000004221	Ikbkg	ENSG00000269335	IKBKG	ortholog_one2one	1
ENSMUSG00000049128	Ivl				
ENSMUSG00000091243	Vgll3	ENSG00000206538	VGLL3	ortholog_one2one	1
ENSMUSG00000010051	Hyal1	ENSG00000114378	HYAL1	ortholog_one2one	1
ENSMUSG00000022540	Rogdi	ENSG00000067836	ROGDI	ortholog_one2one	1
ENSMUSG00000044646	Zbtb7c	ENSG00000184828	ZBTB7C	ortholog_one2one	1
ENSMUSG00000067750	Khdc1a	ENSG00000256980	KHDC1L	ortholog_many2many	0
ENSMUSG00000067750	Khdc1a	ENSG00000135314	KHDC1	ortholog_many2many	0
ENSMUSG00000034785	Dio1	ENSG00000211452	DIO1	ortholog_one2one	1
ENSMUSG00000032226	Gcnt3	ENSG00000140297	GCNT3	ortholog_one2one	1
ENSMUSG00000031372	Trex2	ENSG00000183479	TREX2	ortholog_one2one	1
ENSMUSG00000024270	Slc39a6	ENSG00000141424	SLC39A6	ortholog_one2one	1
ENSMUSG00000035983	Gm7008				
ENSMUSG00000050578	Mmp13	ENSG00000137745	MMP13	ortholog_one2one	1
ENSMUSG00000049866	Arl4c	ENSG00000188042	ARL4C	ortholog_one2one	1
ENSMUSG00000028635	Edn2	ENSG00000127129	EDN2	ortholog_one2one	1
ENSMUSG00000077394	Gm24339	ENSG00000199894		ortholog_one2many	1
ENSMUSG00000077394	Gm24339	ENSG00000199231		ortholog_one2many	1
ENSMUSG00000102997	Gm17244				
ENSMUSG00000076438	Oxct2b	ENSG00000198754	OXCT2	ortholog_one2many	1
ENSMUSG00000035783	Acta2	ENSG00000107796	ACTA2	ortholog_one2one	1
ENSMUSG00000051344	Plekhm3	ENSG00000178385	PLEKHM3	ortholog_one2one	1
ENSMUSG00000062184	Hs6st2	ENSG00000171004	HS6ST2	ortholog_one2one	1
ENSMUSG00000031347	Cetn2	ENSG00000147400	CETN2	ortholog_one2one	1
ENSMUSG00000044303	Cdkn2a	ENSG00000147889	CDKN2A	ortholog_one2one	1
ENSMUSG00000032091	Tmprss4	ENSG00000137648	TMPRSS4	ortholog_one2one	1
ENSMUSG00000070803	Cited4	ENSG00000179862	CITED4	ortholog_one2one	1
ENSMUSG00000018623	Mmp7	ENSG00000137673	MMP7	ortholog_one2one	1
ENSMUSG00000031111	Igsf1	ENSG00000147255	IGSF1	ortholog_one2one	1
ENSMUSG00000024940	Ltbp3	ENSG00000168056	LTBP3	ortholog_one2one	1
ENSMUSG00000026205	Slc23a3	ENSG00000213901	SLC23A3	ortholog_one2one	1
ENSMUSG00000031284	Pak3	ENSG00000077264	PAK3	ortholog_one2one	1
ENSMUSG00000026420	Il24	ENSG00000162892	IL24	ortholog_one2one	1
ENSMUSG00000058908	Pla2g2a	ENSG00000188257	PLA2G2A	ortholog_one2one	0
ENSMUSG00000028369	Svep1	ENSG00000165124	SVEP1	ortholog_one2one	1
ENSMUSG00000066178	6030445D17Rik				
ENSMUSG00000035969	Rusc2	ENSG00000198853	RUSC2	ortholog_one2one	1
ENSMUSG00000034111	Tmed8	ENSG00000100580	TMED8	ortholog_one2one	1
ENSMUSG00000025193	Cutc	ENSG00000119929	CUTC	ortholog_one2one	1
ENSMUSG00000005873	Reep5	ENSG00000129625	REEP5	ortholog_one2one	1
ENSMUSG00000045314	Sowahb	ENSG00000186212	SOWAHB	ortholog_one2one	1
ENSMUSG00000020646	Mboat2	ENSG00000143797	MBOAT2	ortholog_one2one	1
ENSMUSG00000022770	Dlg1	ENSG00000075711	DLG1	ortholog_one2one	1
ENSMUSG00000024421	Lama3	ENSG00000053747	LAMA3	ortholog_one2one	1
ENSMUSG00000057346	Apol9a	ENSG00000100336	APOL4	ortholog_many2many	0
ENSMUSG00000057346	Apol9a	ENSG00000128335	APOL2	ortholog_many2many	0
ENSMUSG00000057346	Apol9a	ENSG00000100342	APOL1	ortholog_many2many	0
ENSMUSG00000057346	Apol9a	ENSG00000128284	APOL3	ortholog_many2many	0
ENSMUSG00000056665	Them6	ENSG00000130193	THEM6	ortholog_one2one	1
ENSMUSG00000047501	Cldn4				
ENSMUSG00000071647	Eml3	ENSG00000149499	EML3	ortholog_one2one	1
ENSMUSG00000042428	Mgat3	ENSG00000128268	MGAT3	ortholog_one2one	1
ENSMUSG00000021190	Lgmn	ENSG00000100600	LGMN	ortholog_one2one	1
ENSMUSG00000035818	Plekhs1	ENSG00000148735	PLEKHS1	ortholog_one2one	1
ENSMUSG00000024727	Trpm6	ENSG00000119121	TRPM6	ortholog_one2one	1
ENSMUSG00000031383	Dusp9	ENSG00000130829	DUSP9	ortholog_one2one	1
ENSMUSG00000031399	Fam3a	ENSG00000071889	FAM3A	ortholog_one2one	1
ENSMUSG00000023078	Cxcl13	ENSG00000156234	CXCL13	ortholog_one2one	0
ENSMUSG00000046727	Cystm1	ENSG00000120306	CYSTM1	ortholog_one2one	1
ENSMUSG00000063354	Slc39a4	ENSG00000147804	SLC39A4	ortholog_one2one	1
ENSMUSG00000022636	Alcam	ENSG00000170017	ALCAM	ortholog_one2one	1
ENSMUSG00000093880	Tmem181c-ps				
ENSMUSG00000031375	Bgn	ENSG00000182492	BGN	ortholog_one2one	1
ENSMUSG00000024277	Mapre2	ENSG00000166974	MAPRE2	ortholog_one2one	1
ENSMUSG00000092071	A230065N10Rik				
ENSMUSG00000048387	Osr1	ENSG00000143867	OSR1	ortholog_one2one	1
ENSMUSG00000043430	Psapl1	ENSG00000178597	PSAPL1	ortholog_one2one	1
ENSMUSG00000033355	Rtp4	ENSG00000136514	RTP4	ortholog_one2one	0
ENSMUSG00000067279	Ppp1r3c	ENSG00000119938	PPP1R3C	ortholog_one2one	1
ENSMUSG00000035062	Zc4h2	ENSG00000126970	ZC4H2	ortholog_one2one	1
ENSMUSG00000058569	Tmed9	ENSG00000184840	TMED9	ortholog_one2one	1
ENSMUSG00000046761	Fam83h	ENSG00000180921	FAM83H	ortholog_one2one	1
ENSMUSG00000024548	Setbp1	ENSG00000152217	SETBP1	ortholog_one2one	1
ENSMUSG00000039903	Eva1c	ENSG00000166979	EVA1C	ortholog_one2one	1
ENSMUSG00000063727	Tnfrsf11b	ENSG00000164761	TNFRSF11B	ortholog_one2one	1
ENSMUSG00000045027	Prss22	ENSG00000005001	PRSS22	ortholog_one2one	1
ENSMUSG00000047242	Taf9b	ENSG00000187325	TAF9B	ortholog_one2one	1
ENSMUSG00000024395	Lims2	ENSG00000072163	LIMS2	ortholog_one2one	1
ENSMUSG00000022900	Ildr1	ENSG00000145103	ILDR1	ortholog_one2one	1
ENSMUSG00000042734	Ttc9	ENSG00000133985	TTC9	ortholog_one2one	1
ENSMUSG00000002847	Pla1a	ENSG00000144837	PLA1A	ortholog_one2one	1
ENSMUSG00000021578	Ccdc127	ENSG00000164366	CCDC127	ortholog_one2one	1
ENSMUSG00000059895	Ptp4a3	ENSG00000184489	PTP4A3	ortholog_one2one	1
ENSMUSG00000024736	Tmem132a	ENSG00000006118	TMEM132A	ortholog_one2one	1
ENSMUSG00000025875	Tspan17	ENSG00000048140	TSPAN17	ortholog_one2one	1
ENSMUSG00000022433	Csnk1e	ENSG00000213923	CSNK1E	ortholog_one2one	1
ENSMUSG00000038347	Tcte2				
ENSMUSG00000045664	Cdc42ep2	ENSG00000149798	CDC42EP2	ortholog_one2one	1
ENSMUSG00000041845	Rhod	ENSG00000173156	RHOD	ortholog_one2one	1
ENSMUSG00000024885	Aldh3b1	ENSG00000006534	ALDH3B1	ortholog_one2one	1
ENSMUSG00000024667	Tmem216	ENSG00000187049	TMEM216	ortholog_one2one	1
ENSMUSG00000078380	Gm6096				
ENSMUSG00000020826	Nos2	ENSG00000007171	NOS2	ortholog_one2one	1
ENSMUSG00000023915	Tnfrsf21	ENSG00000146072	TNFRSF21	ortholog_one2one	1
ENSMUSG00000018916	Csf2	ENSG00000164400	CSF2	ortholog_one2one	1
ENSMUSG00000022594	Lynx1				
ENSMUSG00000065126	Snord104	ENSG00000199753	SNORD104	ortholog_one2one	1
ENSMUSG00000025041	Nt5c2	ENSG00000076685	NT5C2	ortholog_one2one	1
ENSMUSG00000018865	Sult4a1	ENSG00000130540	SULT4A1	ortholog_one2one	1
ENSMUSG00000037636	Slc25a43	ENSG00000077713	SLC25A43	ortholog_one2one	1
ENSMUSG00000001131	Timp1	ENSG00000102265	TIMP1	ortholog_one2one	1
ENSMUSG00002076971	Snord100	ENSG00000221500	SNORD100	ortholog_one2one	1
ENSMUSG00000077440	Gm23130	ENSG00000206754	SNORD101	ortholog_one2one	1
ENSMUSG00000037196	Pacrg	ENSG00000112530	PACRG	ortholog_one2one	1
ENSMUSG00000025035	Arl3	ENSG00000138175	ARL3	ortholog_one2one	1
ENSMUSG00000071644	Eef1g	ENSG00000254772	EEF1G	ortholog_one2one	1
ENSMUSG00000021493	Pdlim7	ENSG00000196923	PDLIM7	ortholog_one2one	1
ENSMUSG00000097651	4930461G14Rik				
ENSMUSG00000031073	Fgf15	ENSG00000162344	FGF19	ortholog_one2one	1
ENSMUSG00000046058	Eid2	ENSG00000176396	EID2	ortholog_one2one	1
ENSMUSG00000022358	Fbxo32	ENSG00000156804	FBXO32	ortholog_one2one	1
ENSMUSG00000025268	Maged2	ENSG00000102316	MAGED2	ortholog_one2one	1
ENSMUSG00000046731	Kctd11	ENSG00000213859	KCTD11	ortholog_one2one	1
ENSMUSG00000022297	Fzd6	ENSG00000164930	FZD6	ortholog_one2one	1
ENSMUSG00000007867	Ift43	ENSG00000119650	IFT43	ortholog_one2one	1
ENSMUSG00000065818	Snord35a	ENSG00000200259	SNORD35A	ortholog_one2one	1
ENSMUSG00000035385	Ccl2	ENSG00000108691	CCL2	ortholog_one2one	0
ENSMUSG00000020183	Cpm	ENSG00000135678	CPM	ortholog_one2one	1
ENSMUSG00000042082	Arsb	ENSG00000113273	ARSB	ortholog_one2one	1
ENSMUSG00000020668	Kif3c	ENSG00000084731	KIF3C	ortholog_one2one	1
ENSMUSG00000021203	Otub2	ENSG00000089723	OTUB2	ortholog_one2one	1
ENSMUSG00000001435	Col18a1	ENSG00000182871	COL18A1	ortholog_one2one	1
ENSMUSG00000070527	Mkrn3	ENSG00000179455	MKRN3	ortholog_one2one	1
ENSMUSG00000036492	Rnf39	ENSG00000204618	RNF39	ortholog_one2one	1
ENSMUSG00000049999	Ppp1r3d	ENSG00000132825	PPP1R3D	ortholog_one2one	1
ENSMUSG00000040990	Sh3kbp1	ENSG00000147010	SH3KBP1	ortholog_one2one	1
ENSMUSG00000014813	Stc1	ENSG00000159167	STC1	ortholog_one2one	1
ENSMUSG00000051617	Krt9	ENSG00000171403	KRT9	ortholog_one2one	1
ENSMUSG00000096054	Syne1	ENSG00000131018	SYNE1	ortholog_one2one	1
ENSMUSG00000024500	Ppp2r2b	ENSG00000156475	PPP2R2B	ortholog_one2one	1
ENSMUSG00000043415	Otud1	ENSG00000165312	OTUD1	ortholog_one2one	1
ENSMUSG00000068452	Duox2	ENSG00000140279	DUOX2	ortholog_one2one	1
ENSMUSG00000006356	Crip2	ENSG00000182809	CRIP2	ortholog_one2one	1
ENSMUSG00000004665	Cnn2	ENSG00000064666	CNN2	ortholog_one2one	1
ENSMUSG00000037712	Fermt2	ENSG00000073712	FERMT2	ortholog_one2one	1
ENSMUSG00000022515	Anks3	ENSG00000168096	ANKS3	ortholog_one2one	1
ENSMUSG00000065036	Gm22362	ENSG00000251796	SNORA70	ortholog_one2many	0
ENSMUSG00000065036	Gm22362	ENSG00000253042	SNORA70	ortholog_one2many	0
ENSMUSG00000065036	Gm22362	ENSG00000251925	SNORA70	ortholog_one2many	0
ENSMUSG00000065036	Gm22362	ENSG00000201376	SNORA70	ortholog_one2many	0
ENSMUSG00000075012	Fjx1	ENSG00000179431	FJX1	ortholog_one2one	1
ENSMUSG00000044921	Rassf9	ENSG00000198774	RASSF9	ortholog_one2one	1
ENSMUSG00000022123	Scel	ENSG00000136155	SCEL	ortholog_one2one	1
ENSMUSG00000046768	Rhoj	ENSG00000126785	RHOJ	ortholog_one2one	1
ENSMUSG00000022442	Ttll1	ENSG00000100271	TTLL1	ortholog_one2one	1
ENSMUSG00000021678	F2rl1	ENSG00000164251	F2RL1	ortholog_one2one	1
ENSMUSG00000021367	Edn1	ENSG00000078401	EDN1	ortholog_one2one	1
ENSMUSG00000052837	Junb	ENSG00000171223	JUNB	ortholog_one2one	1
ENSMUSG00000033579	Fa2h	ENSG00000103089	FA2H	ortholog_one2one	1
ENSMUSG00000071856	Mcc	ENSG00000171444	MCC	ortholog_one2one	1
ENSMUSG00000037933	Bicd2	ENSG00000185963	BICD2	ortholog_one2one	1
ENSMUSG00000034799	Unc13a	ENSG00000130477	UNC13A	ortholog_one2one	1
ENSMUSG00000031903	Pla2g15	ENSG00000103066	PLA2G15	ortholog_one2one	1
ENSMUSG00000021281	Tnfaip2	ENSG00000185215	TNFAIP2	ortholog_one2one	1
ENSMUSG00000024781	Lipa	ENSG00000107798	LIPA	ortholog_one2one	1
ENSMUSG00000021091	Serpina3n	ENSG00000196136	SERPINA3	ortholog_one2many	1
ENSMUSG00000028073	Pear1	ENSG00000187800	PEAR1	ortholog_one2one	1
ENSMUSG00000033004	Mycbp2	ENSG00000005810	MYCBP2	ortholog_one2one	1
ENSMUSG00000052560	Cpne8	ENSG00000139117	CPNE8	ortholog_one2one	1
ENSMUSG00000002477	Snrpd1	ENSG00000167088	SNRPD1	ortholog_one2one	0
ENSMUSG00000021057	Akap5	ENSG00000179841	AKAP5	ortholog_one2one	0
ENSMUSG00000000957	Mmp14	ENSG00000157227	MMP14	ortholog_one2one	1
ENSMUSG00000021916	Glt8d1	ENSG00000016864	GLT8D1	ortholog_one2one	1
ENSMUSG00000031881	Cdh16	ENSG00000166589	CDH16	ortholog_one2one	1
ENSMUSG00000031274	Col4a5	ENSG00000188153	COL4A5	ortholog_one2one	1
ENSMUSG00000024130	Abca3	ENSG00000167972	ABCA3	ortholog_one2one	1
ENSMUSG00000022500	Litaf	ENSG00000189067	LITAF	ortholog_one2one	1
ENSMUSG00000013338	Fer1l4				
ENSMUSG00000002808	Epdr1	ENSG00000086289	EPDR1	ortholog_one2one	1
ENSMUSG00000031379	Pir	ENSG00000087842	PIR	ortholog_one2one	1
ENSMUSG00000025208	Mrpl43	ENSG00000055950	MRPL43	ortholog_one2one	1
ENSMUSG00000074457	S100a16	ENSG00000188643	S100A16	ortholog_one2one	1
ENSMUSG00000035476	Tab3	ENSG00000157625	TAB3	ortholog_one2one	1
ENSMUSG00000053617	Sh3pxd2a	ENSG00000107957	SH3PXD2A	ortholog_one2one	1
ENSMUSG00000045312	Lhfpl2	ENSG00000145685	LHFPL2	ortholog_one2one	1
ENSMUSG00000004446	Bid	ENSG00000015475	BID	ortholog_one2one	1
ENSMUSG00000089762	Ier5l	ENSG00000188483	IER5L	ortholog_one2one	1
ENSMUSG00000024048	Myl12a				
ENSMUSG00000057841	Rpl32	ENSG00000144713	RPL32	ortholog_one2one	1
ENSMUSG00000045934	Mtmr11	ENSG00000014914	MTMR11	ortholog_one2one	1
ENSMUSG00000057193	Slc44a2	ENSG00000129353	SLC44A2	ortholog_one2one	1
ENSMUSG00000031328	Flna	ENSG00000196924	FLNA	ortholog_one2one	1
ENSMUSG00000025555	Farp1	ENSG00000152767	FARP1	ortholog_one2one	1
ENSMUSG00000059921	Unc5c	ENSG00000182168	UNC5C	ortholog_one2one	1
ENSMUSG00000093904	Tomm20	ENSG00000173726	TOMM20	ortholog_one2one	1
ENSMUSG00000034459	Ifit1	ENSG00000204010	IFIT1B	ortholog_one2many	1
ENSMUSG00000053675	Tgm5	ENSG00000104055	TGM5	ortholog_one2one	1
ENSMUSG00000074682	Zcchc3	ENSG00000247315	ZCCHC3	ortholog_one2one	1
ENSMUSG00000001020	S100a4	ENSG00000196154	S100A4	ortholog_one2one	1
ENSMUSG00000038354	Ankrd35	ENSG00000198483	ANKRD35	ortholog_one2one	1
ENSMUSG00000031538	Plat	ENSG00000104368	PLAT	ortholog_one2one	1
ENSMUSG00000007908	Hmgcll1	ENSG00000146151	HMGCLL1	ortholog_one2one	1
ENSMUSG00000068923	Syt11	ENSG00000132718	SYT11	ortholog_one2one	1
ENSMUSG00000063011	Msln	ENSG00000102854	MSLN	ortholog_one2one	1
ENSMUSG00000050092	Sprr2b				
ENSMUSG00000009739	Pou6f1	ENSG00000184271	POU6F1	ortholog_one2one	1
ENSMUSG00000014444	Piezo1	ENSG00000103335	PIEZO1	ortholog_one2one	1
ENSMUSG00000029763	Exoc4	ENSG00000131558	EXOC4	ortholog_one2one	1
ENSMUSG00000024486	Hbegf	ENSG00000113070	HBEGF	ortholog_one2one	1
ENSMUSG00000044393	Dsg2	ENSG00000046604	DSG2	ortholog_one2one	1
ENSMUSG00000028602	Tnfrsf8	ENSG00000120949	TNFRSF8	ortholog_one2one	0
ENSMUSG00000021670	Hmgcr	ENSG00000113161	HMGCR	ortholog_one2one	1
ENSMUSG00000059022	Kcp	ENSG00000135253	KCP	ortholog_one2one	1
ENSMUSG00000046259	Sprr2h				
ENSMUSG00000056596	Trnp1	ENSG00000253368	TRNP1	ortholog_one2one	1
ENSMUSG00000023232	Serinc2	ENSG00000168528	SERINC2	ortholog_one2one	1
ENSMUSG00000060716	Plekhh1	ENSG00000054690	PLEKHH1	ortholog_one2one	1
ENSMUSG00000031351	Zfp185	ENSG00000147394	ZNF185	ortholog_one2one	0
ENSMUSG00000021388	Aspn	ENSG00000106819	ASPN	ortholog_one2one	1
ENSMUSG00000022883	Robo1	ENSG00000169855	ROBO1	ortholog_one2one	1
ENSMUSG00000032369	Plscr1	ENSG00000188313	PLSCR1	ortholog_one2many	1
ENSMUSG00000024533	Spire1	ENSG00000134278	SPIRE1	ortholog_one2one	1
ENSMUSG00000023092	Fhl1	ENSG00000022267	FHL1	ortholog_one2many	1
ENSMUSG00000033436	Armcx2	ENSG00000184867	ARMCX2	ortholog_one2one	1
ENSMUSG00000038295	Atg9b	ENSG00000181652	ATG9B	ortholog_one2one	1
ENSMUSG00000028356	Ambp	ENSG00000106927	AMBP	ortholog_one2one	1
ENSMUSG00000032332	Col12a1	ENSG00000111799	COL12A1	ortholog_one2one	1
ENSMUSG00000021843	Ktn1	ENSG00000126777	KTN1	ortholog_one2one	1
ENSMUSG00000043336	Filip1l	ENSG00000168386	FILIP1L	ortholog_one2one	1
ENSMUSG00000043088	Il17re	ENSG00000163701	IL17RE	ortholog_one2one	1
ENSMUSG00000040820	Hlcs	ENSG00000159267	HLCS	ortholog_one2one	1
ENSMUSG00000086841	2410006H16Rik				
ENSMUSG00000022756	Slc7a4	ENSG00000099960	SLC7A4	ortholog_one2one	1
ENSMUSG00000031311	Nono	ENSG00000147140	NONO	ortholog_one2one	1
ENSMUSG00000031327	Chic1	ENSG00000204116	CHIC1	ortholog_one2one	1
ENSMUSG00000079426	Arpc4	ENSG00000241553	ARPC4	ortholog_one2one	1
ENSMUSG00000038816	Ctnnal1	ENSG00000119326	CTNNAL1	ortholog_one2one	1
ENSMUSG00000075254	Heg1	ENSG00000173706	HEG1	ortholog_one2one	1
ENSMUSG00000022837	Iqcb1	ENSG00000173226	IQCB1	ortholog_one2one	1
ENSMUSG00000029994	Anxa4	ENSG00000196975	ANXA4	ortholog_one2one	1
ENSMUSG00000023000	Dhh	ENSG00000139549	DHH	ortholog_one2one	1
ENSMUSG00000050697	Prkaa1	ENSG00000132356	PRKAA1	ortholog_one2one	1
ENSMUSG00000061808	Ttr	ENSG00000118271	TTR	ortholog_one2one	1
ENSMUSG00000037185	Krt80	ENSG00000167767	KRT80	ortholog_one2one	1
ENSMUSG00000044854	1700056E22Rik				
ENSMUSG00000069601	Ank3	ENSG00000151150	ANK3	ortholog_one2one	0
ENSMUSG00000035199	Arl6ip5	ENSG00000144746	ARL6IP5	ortholog_one2one	1
ENSMUSG00000069833	Ahnak	ENSG00000124942	AHNAK	ortholog_one2one	1
ENSMUSG00000029371	Cxcl5	ENSG00000124875	CXCL6	ortholog_one2one	1
ENSMUSG00000026185	Igfbp5	ENSG00000115461	IGFBP5	ortholog_one2one	1
ENSMUSG00000085972	1110028F11Rik				
ENSMUSG00000022146	Osmr	ENSG00000145623	OSMR	ortholog_one2one	1
ENSMUSG00000005615	Pcyt1a	ENSG00000161217	PCYT1A	ortholog_one2one	1
ENSMUSG00000031207	Msn	ENSG00000147065	MSN	ortholog_one2one	1
ENSMUSG00000025880	Smad7	ENSG00000101665	SMAD7	ortholog_one2one	1
