mouse_symbol	class	n_human_targets	human_targets
Aim2	ortholog_one2one	1	AIM2:ENSG00000163568
Ak1	ortholog_one2one	1	AK1:ENSG00000106992
Akap13	ortholog_one2one	1	AKAP13:ENSG00000170776
Akap2	NOT_FOUND_IN_BIOMART	0	
Akap5	ortholog_one2one	1	AKAP5:ENSG00000179841
Akr1B10	NOT_FOUND_IN_BIOMART	0	
Akr1B3	NOT_FOUND_IN_BIOMART	0	
Akr1B8	NOT_FOUND_IN_BIOMART	0	
Akt3	ortholog_one2one	1	AKT3:ENSG00000117020
Alcam	ortholog_one2one	1	ALCAM:ENSG00000170017
Aldh1A3	NOT_FOUND_IN_BIOMART	0	
Aldh3A1	NOT_FOUND_IN_BIOMART	0	
Aldh3B1	NOT_FOUND_IN_BIOMART	0	
Aldh4A1	NOT_FOUND_IN_BIOMART	0	
Aldh6A1	NOT_FOUND_IN_BIOMART	0	
Alkbh2	ortholog_one2one	1	ALKBH2:ENSG00000189046
Als2Cr4	NOT_FOUND_IN_BIOMART	0	
Ambp	ortholog_one2one	1	AMBP:ENSG00000106927
Amer2	ortholog_one2one	1	AMER2:ENSG00000165566
Amotl1	ortholog_one2one	1	AMOTL1:ENSG00000166025
Amotl2	ortholog_one2one	1	AMOTL2:ENSG00000114019
Anapc2	ortholog_one2one	1	ANAPC2:ENSG00000176248
Angptl6	ortholog_one2one	1	ANGPTL6:ENSG00000130812
Ank3	ortholog_one2one	1	ANK3:ENSG00000151150
Ankrd1	ortholog_one2one	1	ANKRD1:ENSG00000148677
Ankrd22	ortholog_one2one	1	ANKRD22:ENSG00000152766
Ankrd35	ortholog_one2one	1	ANKRD35:ENSG00000198483
Ankrd50	ortholog_one2one	1	ANKRD50:ENSG00000151458
Anks3	ortholog_one2one	1	ANKS3:ENSG00000168096
Ano1	ortholog_one2one	1	ANO1:ENSG00000131620
Anp32E	NOT_FOUND_IN_BIOMART	0	
Antxr1	ortholog_one2one	1	ANTXR1:ENSG00000169604
Antxr2	ortholog_one2one	1	ANTXR2:ENSG00000163297
Anxa1	ortholog_one2one	1	ANXA1:ENSG00000135046
Anxa3	ortholog_one2one	1	ANXA3:ENSG00000138772
Anxa4	ortholog_one2one	1	ANXA4:ENSG00000196975
Anxa5	ortholog_one2one	1	ANXA5:ENSG00000164111
Anxa6	ortholog_one2one	1	ANXA6:ENSG00000197043
Anxa8	ambiguous_ortholog_one2many	2	ANXA8:ENSG00000265190;ANXA8L1:ENSG00000264230
Ap1G1	NOT_FOUND_IN_BIOMART	0	
Ap1S3	NOT_FOUND_IN_BIOMART	0	
Ap2B1	NOT_FOUND_IN_BIOMART	0	
Ap3M2	NOT_FOUND_IN_BIOMART	0	
Apbb1	ortholog_one2one	1	APBB1:ENSG00000166313
Aph1B	NOT_FOUND_IN_BIOMART	0	
Aplp1	ortholog_one2one	1	APLP1:ENSG00000105290
Aplp2	ortholog_one2one	1	APLP2:ENSG00000084234
Apol9A	NOT_FOUND_IN_BIOMART	0	
Apol9B	NOT_FOUND_IN_BIOMART	0	
Appl2	ortholog_one2one	1	APPL2:ENSG00000136044
Aqp1	ortholog_one2one	1	AQP1:ENSG00000240583
Aqp5	ortholog_one2one	1	AQP5:ENSG00000161798
Aqp8	ortholog_one2one	1	AQP8:ENSG00000103375
Arap1	ortholog_one2one	1	ARAP1:ENSG00000186635
Arc	ortholog_one2one	1	ARC:ENSG00000198576
Arcn1	ortholog_one2one	1	ARCN1:ENSG00000095139
Areg	ortholog_one2one	1	AREG:ENSG00000109321
Arf1	ortholog_one2one	1	ARF1:ENSG00000143761
Arfgef2	ortholog_one2one	1	ARFGEF2:ENSG00000124198
Arhgap12	ortholog_one2one	1	ARHGAP12:ENSG00000165322
Arhgap22	ortholog_one2one	1	ARHGAP22:ENSG00000128805
Arhgap23	ortholog_one2one	1	ARHGAP23:ENSG00000275832
Arhgap29	ortholog_one2one	1	ARHGAP29:ENSG00000137962
Arhgap40	ortholog_one2one	1	ARHGAP40:ENSG00000124143
Arhgap44	ortholog_one2one	1	ARHGAP44:ENSG00000006740
Arhgef17	ortholog_one2one	1	ARHGEF17:ENSG00000110237
Arhgef18	ortholog_one2one	1	ARHGEF18:ENSG00000104880
Arhgef25	ortholog_one2one	1	ARHGEF25:ENSG00000240771
Arhgef28	ortholog_one2one	1	ARHGEF28:ENSG00000214944
Arhgef3	ortholog_one2one	1	ARHGEF3:ENSG00000163947
Arhgef4	NO_ORTHOLOG	0	
Arid3A	NOT_FOUND_IN_BIOMART	0	
Arid4A	NOT_FOUND_IN_BIOMART	0	
Arid5A	NOT_FOUND_IN_BIOMART	0	
Arl1	ortholog_one2one	1	ARL1:ENSG00000120805
Arl3	ortholog_one2one	1	ARL3:ENSG00000138175
Arl4C	NOT_FOUND_IN_BIOMART	0	
Arl6	ortholog_one2one	1	ARL6:ENSG00000113966
Arl6Ip5	NOT_FOUND_IN_BIOMART	0	
Armcx2	ortholog_one2one	1	ARMCX2:ENSG00000184867
Armcx3	ortholog_one2one	1	ARMCX3:ENSG00000102401
Arnt2	ortholog_one2one	1	ARNT2:ENSG00000172379
Arpc3	ortholog_one2one	1	ARPC3:ENSG00000111229
Arpc4	ortholog_one2one	1	ARPC4:ENSG00000241553
Arpp19	ortholog_one2one	1	ARPP19:ENSG00000128989
Arsb	ortholog_one2one	1	ARSB:ENSG00000113273
Art2A-Ps	NOT_FOUND_IN_BIOMART	0	
Asah1	ortholog_one2one	1	ASAH1:ENSG00000104763
Asap1	ortholog_one2one	1	ASAP1:ENSG00000153317
Asb1	ortholog_one2one	1	ASB1:ENSG00000065802
Aspn	ortholog_one2one	1	ASPN:ENSG00000106819
Ass1	ortholog_one2one	1	ASS1:ENSG00000130707
Atf2	ortholog_one2one	1	ATF2:ENSG00000115966
Atf3	ortholog_one2one	1	ATF3:ENSG00000162772
Atg9B	NOT_FOUND_IN_BIOMART	0	
Atox1	ortholog_one2one	1	ATOX1:ENSG00000177556
Atp11A	NOT_FOUND_IN_BIOMART	0	
Atp11B	NOT_FOUND_IN_BIOMART	0	
Atp1A1	NOT_FOUND_IN_BIOMART	0	
Atp2B1	NOT_FOUND_IN_BIOMART	0	
Atp5G1	NOT_FOUND_IN_BIOMART	0	
Atp6V0A1	NOT_FOUND_IN_BIOMART	0	
Atp6V0E2	NOT_FOUND_IN_BIOMART	0	
Atp6V1B2	NOT_FOUND_IN_BIOMART	0	
Atp6V1F	NOT_FOUND_IN_BIOMART	0	
Atp9A	NOT_FOUND_IN_BIOMART	0	
Atxn10	ortholog_one2one	1	ATXN10:ENSG00000130638
Avpi1	ortholog_one2one	1	AVPI1:ENSG00000119986
Aw112010	NOT_FOUND_IN_BIOMART	0	
Axl	ortholog_one2one	1	AXL:ENSG00000167601
Azgp1	ortholog_one2one	1	AZGP1:ENSG00000160862
B4Galnt1	NOT_FOUND_IN_BIOMART	0	
B9D1	NOT_FOUND_IN_BIOMART	0	
B9D2	NOT_FOUND_IN_BIOMART	0	
Bace1	ortholog_one2one	1	BACE1:ENSG00000186318
Bace2	ortholog_one2one	1	BACE2:ENSG00000182240
Baiap2	ortholog_one2one	1	BAIAP2:ENSG00000175866
Baiap2L1	NOT_FOUND_IN_BIOMART	0	
Barx2	ortholog_one2one	1	BARX2:ENSG00000043039
Basp1	ortholog_one2one	1	BASP1:ENSG00000176788
Bax	ortholog_one2one	1	BAX:ENSG00000087088
Bbs10	ortholog_one2one	1	BBS10:ENSG00000179941
Bbs4	ortholog_one2one	1	BBS4:ENSG00000140463
Bbs9	ortholog_one2one	1	BBS9:ENSG00000122507
Bbx	ortholog_one2one	1	BBX:ENSG00000114439
Bcam	ortholog_one2one	1	BCAM:ENSG00000187244
Bcap31	ortholog_one2one	1	BCAP31:ENSG00000185825
Bcas1	ortholog_one2one	1	BCAS1:ENSG00000064787
Bcat2	ortholog_one2one	1	BCAT2:ENSG00000105552
Bcl2	ortholog_one2one	1	BCL2:ENSG00000171791
Bcl2L1	NOT_FOUND_IN_BIOMART	0	
Bcl2L11	NOT_FOUND_IN_BIOMART	0	
Bcl9L	NOT_FOUND_IN_BIOMART	0	
Bdh2	ortholog_one2one	1	BDH2:ENSG00000164039
Bdnf	ortholog_one2one	1	BDNF:ENSG00000176697
Bex1	ambiguous_ortholog_many2many	2	BEX1:ENSG00000133169;BEX2:ENSG00000133134
Bex2	ambiguous_ortholog_many2many	2	BEX1:ENSG00000133169;BEX2:ENSG00000133134
Bgn	ortholog_one2one	1	BGN:ENSG00000182492
Bhlhb9	ortholog_one2one	1	GPRASP3:ENSG00000198908
Bicc1	ortholog_one2one	1	BICC1:ENSG00000122870
Bicd1	ortholog_one2one	1	BICD1:ENSG00000151746
Bicd2	ortholog_one2one	1	BICD2:ENSG00000185963
Bid	ortholog_one2one	1	BID:ENSG00000015475
Bik	ortholog_one2one	1	BIK:ENSG00000100290
Bmf	ortholog_one2one	1	BMF:ENSG00000104081
Bmp2	ortholog_one2one	1	BMP2:ENSG00000125845
Bmp4	ortholog_one2one	1	BMP4:ENSG00000125378
Bmp5	ortholog_one2one	1	BMP5:ENSG00000112175
Bmp8B	NOT_FOUND_IN_BIOMART	0	
Bnip2	ortholog_one2one	1	BNIP2:ENSG00000140299
Bnip3L	NOT_FOUND_IN_BIOMART	0	
Bok	ortholog_one2one	1	BOK:ENSG00000176720
Brcc3	ambiguous_ortholog_one2many	1	BRCC3:ENSG00000185515
Brix1	ortholog_one2one	1	BRIX1:ENSG00000113460
Bsg	ortholog_one2one	1	BSG:ENSG00000172270
Btbd11	NOT_FOUND_IN_BIOMART	0	
Btg2	ortholog_one2one	1	BTG2:ENSG00000159388
Btn1A1	NOT_FOUND_IN_BIOMART	0	
C1Qtnf4	NOT_FOUND_IN_BIOMART	0	
C1S1	NOT_FOUND_IN_BIOMART	0	
C2	ortholog_one2one	1	C2:ENSG00000166278
C2Cd4C	NOT_FOUND_IN_BIOMART	0	
C3	ortholog_one2one	1	C3:ENSG00000125730
C4B	NOT_FOUND_IN_BIOMART	0	
Cacnb3	ortholog_one2one	1	CACNB3:ENSG00000167535
Cacybp	ortholog_one2one	1	CACYBP:ENSG00000116161
Cadm1	ortholog_one2one	1	CADM1:ENSG00000182985
Calcb	ortholog_one2one	1	CALCB:ENSG00000175868
Calcoco1	ortholog_one2one	1	CALCOCO1:ENSG00000012822
Camk1	ortholog_one2one	1	CAMK1:ENSG00000134072
Camk2N1	NOT_FOUND_IN_BIOMART	0	
Camkk1	ortholog_one2one	1	CAMKK1:ENSG00000004660
Camsap2	ortholog_one2one	1	CAMSAP2:ENSG00000118200
Cap1	ortholog_one2one	1	CAP1:ENSG00000131236
Capg	ortholog_one2one	1	CAPG:ENSG00000042493
Capn13	ortholog_one2one	1	CAPN13:ENSG00000162949
Capn2	ortholog_one2one	1	CAPN2:ENSG00000162909
Capn5	ortholog_one2one	1	CAPN5:ENSG00000149260
Capns1	ortholog_one2one	1	CAPNS1:ENSG00000126247
Capsl	ortholog_one2one	1	CAPSL:ENSG00000152611
Car12	ortholog_one2one	1	CA12:ENSG00000074410
Car2	ortholog_one2one	1	CA2:ENSG00000104267
Card10	ortholog_one2one	1	CARD10:ENSG00000100065
Cav1	ortholog_one2one	1	CAV1:ENSG00000105974
Cav2	ortholog_one2one	1	CAV2:ENSG00000105971
Cblc	ortholog_one2one	1	CBLC:ENSG00000142273
Cbx6	ortholog_one2one	1	CBX6:ENSG00000183741
Ccdc102A	NOT_FOUND_IN_BIOMART	0	
Ccdc103	ortholog_one2one	1	DNAAF19:ENSG00000167131
Ccdc12	ortholog_one2one	1	CCDC12:ENSG00000160799
Ccdc120	ortholog_one2one	1	CCDC120:ENSG00000147144
Ccdc126	ortholog_one2one	1	CCDC126:ENSG00000169193
Ccdc127	ortholog_one2one	1	CCDC127:ENSG00000164366
Ccdc19	NOT_FOUND_IN_BIOMART	0	
Ccdc23	NOT_FOUND_IN_BIOMART	0	
Ccdc3	ortholog_one2one	1	CCDC3:ENSG00000151468
Ccdc33	ortholog_one2one	1	CCDC33:ENSG00000140481
Ccdc58	NOT_FOUND_IN_BIOMART	0	
Ccdc68	ortholog_one2one	1	CCDC68:ENSG00000166510
Ccdc82	ortholog_one2one	1	CCDC82:ENSG00000149231
Ccdc92	ortholog_one2one	1	CCDC92:ENSG00000119242
Ccl2	ortholog_one2one	1	CCL2:ENSG00000108691
Ccl20	ortholog_one2one	1	CCL20:ENSG00000115009
Ccl7	ortholog_one2one	1	CCL7:ENSG00000108688
Ccl9	ambiguous_ortholog_many2many	2	CCL23:ENSG00000274736;CCL15:ENSG00000275718
Ccnd1	ortholog_one2one	1	CCND1:ENSG00000110092
Ccnd2	ortholog_one2one	1	CCND2:ENSG00000118971
Ccng1	ortholog_one2one	1	CCNG1:ENSG00000113328
Ccp110	ortholog_one2one	1	CCP110:ENSG00000103540
Ccpg1	ortholog_one2one	1	CCPG1:ENSG00000260916
Ccrl2	ortholog_one2one	1	CCRL2:ENSG00000121797
Ccser2	ortholog_one2one	1	CCSER2:ENSG00000107771
Cd14	ortholog_one2one	1	CD14:ENSG00000170458
Cd151	ortholog_one2one	1	CD151:ENSG00000177697
Cd24A	NOT_FOUND_IN_BIOMART	0	
Cd276	ortholog_one2one	1	CD276:ENSG00000103855
Cd34	ortholog_one2one	1	CD34:ENSG00000174059
Cd44	ortholog_one2one	1	CD44:ENSG00000026508
Cd47	ortholog_one2one	1	CD47:ENSG00000196776
Cd55	ambiguous_ortholog_one2many	1	CD55:ENSG00000196352
Cd68	ortholog_one2one	1	CD68:ENSG00000129226
Cd74	ortholog_one2one	1	CD74:ENSG00000019582
Cd9	ortholog_one2one	1	CD9:ENSG00000010278
Cd97	NOT_FOUND_IN_BIOMART	0	
Cd99L2	NOT_FOUND_IN_BIOMART	0	
Cdc42Bpg	NOT_FOUND_IN_BIOMART	0	
Cdc42Ep2	NOT_FOUND_IN_BIOMART	0	
Cdh11	ortholog_one2one	1	CDH11:ENSG00000140937
Cdh13	ortholog_one2one	1	CDH13:ENSG00000140945
Cdh16	ortholog_one2one	1	CDH16:ENSG00000166589
Cdh3	ortholog_one2one	1	CDH3:ENSG00000062038
Cdh6	ortholog_one2one	1	CDH6:ENSG00000113361
Cdk19	ortholog_one2one	1	CDK19:ENSG00000155111
Cdk20	ortholog_one2one	1	CDK20:ENSG00000156345
Cdk5	ortholog_one2one	1	CDK5:ENSG00000164885
Cdkl2	ortholog_one2one	1	CDKL2:ENSG00000138769
Cdkn1C	NOT_FOUND_IN_BIOMART	0	
Cdkn2A	NOT_FOUND_IN_BIOMART	0	
Ceacam1	ambiguous_ortholog_many2many	16	PSG3:ENSG00000221826;PSG8:ENSG00000124467;CEACAM7:ENSG00000007306;PSG11:ENSG00000243130;PSG6:ENSG00000170848;PSG5:ENSG00000204941;CEACAM3:ENSG00000170956;CEACAM1:ENSG00000079385;PSG1:ENSG00000231924;PSG2:ENSG00000242221;PSG4:ENSG00000243137;PSG7:ENSG00000221878;CEACAM6:ENSG00000086548;CEACAM8:ENSG00000124469;PSG9:ENSG00000183668;CEACAM5:ENSG00000105388
Celf2	ortholog_one2one	1	CELF2:ENSG00000048740
Celsr1	ortholog_one2one	1	CELSR1:ENSG00000075275
Cep170	ortholog_one2one	1	CEP170:ENSG00000143702
Cers5	ortholog_one2one	1	CERS5:ENSG00000139624
Cetn2	ortholog_one2one	1	CETN2:ENSG00000147400
Cgnl1	ortholog_one2one	1	CGNL1:ENSG00000128849
Chac1	ortholog_one2one	1	CHAC1:ENSG00000128965
Chchd6	ortholog_one2one	1	CHCHD6:ENSG00000159685
Chd3	ortholog_one2one	1	CHD3:ENSG00000170004
Chic1	ortholog_one2one	1	CHIC1:ENSG00000204116
Chic2	ortholog_one2one	1	CHIC2:ENSG00000109220
Chn2	ortholog_one2one	1	CHN2:ENSG00000106069
Chpf	ortholog_one2one	1	CHPF:ENSG00000123989
Chrac1	ortholog_one2one	1	CHRAC1:ENSG00000104472
Chrnb1	ortholog_one2one	1	CHRNB1:ENSG00000170175
Chst8	ortholog_one2one	1	CHST8:ENSG00000124302
Cidea	ortholog_one2one	1	CIDEA:ENSG00000176194
Cidec	ortholog_one2one	1	CIDEC:ENSG00000187288
Cish	ortholog_one2one	1	CISH:ENSG00000114737
Cited4	ortholog_one2one	1	CITED4:ENSG00000179862
Ckap2	ortholog_one2one	1	CKAP2:ENSG00000136108
Ckb	ortholog_one2one	1	CKB:ENSG00000166165
Clca3A2	NOT_FOUND_IN_BIOMART	0	
Clca4B	NOT_FOUND_IN_BIOMART	0	
Clca6	NOT_FOUND_IN_BIOMART	0	
Clcf1	ortholog_one2one	1	CLCF1:ENSG00000175505
Cldn4	NO_ORTHOLOG	0	
Cldn6	ortholog_one2one	1	CLDN6:ENSG00000184697
Clic1	ortholog_one2one	1	CLIC1:ENSG00000213719
Clic3	ortholog_one2one	1	CLIC3:ENSG00000169583
Clic4	ortholog_one2one	1	CLIC4:ENSG00000169504
Clu	ortholog_one2one	1	CLU:ENSG00000120885
Cmtm3	ortholog_one2one	1	CMTM3:ENSG00000140931
Cmtm7	ortholog_one2one	1	CMTM7:ENSG00000153551
Cmtm8	ortholog_one2one	1	CMTM8:ENSG00000170293
Cnbp	ortholog_one2one	1	CNBP:ENSG00000169714
Cnksr1	ortholog_one2one	1	CNKSR1:ENSG00000142675
Cnn2	ortholog_one2one	1	CNN2:ENSG00000064666
Cnn3	ortholog_one2one	1	CNN3:ENSG00000117519
Cnnm2	ortholog_one2one	1	CNNM2:ENSG00000148842
Cnot4	ortholog_one2one	1	CNOT4:ENSG00000080802
Cnp	ortholog_one2one	1	CNP:ENSG00000173786
Cnppd1	ortholog_one2one	1	CNPPD1:ENSG00000115649
Col12A1	NOT_FOUND_IN_BIOMART	0	
Col18A1	NOT_FOUND_IN_BIOMART	0	
Col1A1	NOT_FOUND_IN_BIOMART	0	
Col3A1	NOT_FOUND_IN_BIOMART	0	
Col4A1	NOT_FOUND_IN_BIOMART	0	
Col4A2	NOT_FOUND_IN_BIOMART	0	
Col4A5	NOT_FOUND_IN_BIOMART	0	
Copg1	ortholog_one2one	1	COPG1:ENSG00000181789
Cops5	ortholog_one2one	1	COPS5:ENSG00000121022
Copz2	ortholog_one2one	1	COPZ2:ENSG00000005243
Cp	ortholog_one2one	1	CP:ENSG00000047457
Cpm	ortholog_one2one	1	CPM:ENSG00000135678
Cpne8	ortholog_one2one	1	CPNE8:ENSG00000139117
Creb1	ortholog_one2one	1	CREB1:ENSG00000118260
Creld1	ortholog_one2one	1	CRELD1:ENSG00000163703
Crip2	ortholog_one2one	1	CRIP2:ENSG00000182809
Crlf3	ortholog_one2one	1	CRLF3:ENSG00000176390
Crp	ortholog_one2one	1	CRP:ENSG00000132693
Cryab	ortholog_one2one	1	CRYAB:ENSG00000109846
Cryz	ortholog_one2one	1	CRYZ:ENSG00000116791
Csf1R	NOT_FOUND_IN_BIOMART	0	
Csf2	ortholog_one2one	1	CSF2:ENSG00000164400
Csnk1E	NOT_FOUND_IN_BIOMART	0	
Csrnp1	ortholog_one2one	1	CSRNP1:ENSG00000144655
Csrp1	ortholog_one2one	1	CSRP1:ENSG00000159176
Cst9	ambiguous_ortholog_one2many	1	CST9L:ENSG00000101435
Cstb	ortholog_one2one	1	CSTB:ENSG00000160213
Ctgf	NOT_FOUND_IN_BIOMART	0	
Ctnnal1	ortholog_one2one	1	CTNNAL1:ENSG00000119326
Ctnnb1	ortholog_one2one	1	CTNNB1:ENSG00000168036
Ctsa	ortholog_one2one	1	CTSA:ENSG00000064601
Ctsd	ortholog_one2one	1	CTSD:ENSG00000117984
Ctse	ortholog_one2one	1	CTSE:ENSG00000196188
Ctsf	ortholog_one2one	1	CTSF:ENSG00000174080
Ctsh	ortholog_one2one	1	CTSH:ENSG00000103811
Cttn	ortholog_one2one	1	CTTN:ENSG00000085733
Cttnbp2Nl	NOT_FOUND_IN_BIOMART	0	
Ctxn1	ortholog_one2one	1	CTXN1:ENSG00000178531
Cul7	ortholog_one2one	1	CUL7:ENSG00000044090
Cutc	ortholog_one2one	1	CUTC:ENSG00000119929
Cwh43	ortholog_one2one	1	CWH43:ENSG00000109182
Cx3Cl1	NOT_FOUND_IN_BIOMART	0	
Cxcl1	ambiguous_ortholog_one2many	1	CXCL3:ENSG00000163734
Cxcl10	ortholog_one2one	1	CXCL10:ENSG00000169245
Cxcl12	ortholog_one2one	1	CXCL12:ENSG00000107562
Cxcl13	ortholog_one2one	1	CXCL13:ENSG00000156234
Cxcl16	ortholog_one2one	1	CXCL16:ENSG00000161921
Cxcl17	ortholog_one2one	1	CXCL17:ENSG00000189377
Cxcl2	ambiguous_ortholog_one2many	1	CXCL3:ENSG00000163734
Cxcl5	ortholog_one2one	1	CXCL6:ENSG00000124875
Cyba	ortholog_one2one	1	CYBA:ENSG00000051523
Cyld	ortholog_one2one	1	CYLD:ENSG00000083799
Cyp1A1	NOT_FOUND_IN_BIOMART	0	
Cyr61	NOT_FOUND_IN_BIOMART	0	
Cystm1	ortholog_one2one	1	CYSTM1:ENSG00000120306
Cyth3	ortholog_one2one	1	CYTH3:ENSG00000008256
D14Ertd668E	NOT_FOUND_IN_BIOMART	0	
Dap	ortholog_one2one	1	DAP:ENSG00000112977
Dapk1	ortholog_one2one	1	DAPK1:ENSG00000196730
Dbndd2	ortholog_one2one	1	DBNDD2:ENSG00000244274
Dcn	ortholog_one2one	1	DCN:ENSG00000011465
Dctn2	ortholog_one2one	1	DCTN2:ENSG00000175203
Dcxr	ortholog_one2one	1	DCXR:ENSG00000169738
Ddah1	ortholog_one2one	1	DDAH1:ENSG00000153904
Ddhd1	ortholog_one2one	1	DDHD1:ENSG00000100523
Ddit4	ortholog_one2one	1	DDIT4:ENSG00000168209
Ddit4L	NOT_FOUND_IN_BIOMART	0	
Ddo	ortholog_one2one	1	DDO:ENSG00000203797
Ddr1	ortholog_one2one	1	DDR1:ENSG00000204580
Ddx17	ortholog_one2one	1	DDX17:ENSG00000100201
Ddx3X	NOT_FOUND_IN_BIOMART	0	
Ddx5	ortholog_one2one	1	DDX5:ENSG00000108654
Ddx60	ortholog_one2one	1	DDX60:ENSG00000137628
Degs1	ambiguous_ortholog_one2many	1	DEGS1:ENSG00000143753
Dennd2C	NOT_FOUND_IN_BIOMART	0	
Dennd5A	NOT_FOUND_IN_BIOMART	0	
Denr	ortholog_one2one	1	DENR:ENSG00000139726
Derl3	ortholog_one2one	1	DERL3:ENSG00000099958
Dhh	ortholog_one2one	1	DHH:ENSG00000139549
