mouse_symbol	signatures	class	n_human_targets	human_targets	inclusion_decision
Abhd5	FETAL_INTESTINE_GENES	ortholog_one2one	1	ABHD5:ENSG00000011198	include_primary
Abhd6	FETAL_INTESTINE_GENES	ortholog_one2one	1	ABHD6:ENSG00000163686	include_primary
Abhd8	FETAL_INTESTINE_GENES	ortholog_one2one	1	ABHD8:ENSG00000127220	include_primary
Abi1	REVIVAL_STEM_CELL_GENES	ortholog_one2one	1	ABI1:ENSG00000136754	include_primary
Abi2	FETAL_INTESTINE_GENES	ortholog_one2one	1	ABI2:ENSG00000138443	include_primary
Abi3	FETAL_INTESTINE_GENES;FETAL_SPHEROID_EPITHELIUM_GENES	ortholog_one2one	1	ABI3:ENSG00000108798	include_primary
Abi3Bp	REGENERATIVE_EPITHELIUM	NOT_FOUND_IN_BIOMART	0		exclude
Acacb	FETAL_INTESTINE_GENES	ortholog_one2one	1	ACACB:ENSG00000076555	include_primary
Acap3	FETAL_INTESTINE_GENES	ortholog_one2one	1	ACAP3:ENSG00000131584	include_primary
Accs	FETAL_INTESTINE_GENES	ortholog_one2one	1	ACCS:ENSG00000110455	include_primary
Acot10	YAP_SIGNALING_GENES	ambiguous	1	ACOT9:ENSG00000123130	extended_ambiguous_only
Acot7	FETAL_INTESTINE_GENES	ortholog_one2one	1	ACOT7:ENSG00000097021	include_primary
Acot9	YAP_SIGNALING_GENES	ambiguous	1	ACOT9:ENSG00000123130	extended_ambiguous_only
Acox2	YAP_SIGNALING_GENES	ortholog_one2one	1	ACOX2:ENSG00000168306	include_primary
Acsbg1	FETAL_INTESTINE_GENES	ortholog_one2one	1	ACSBG1:ENSG00000103740	include_primary
Acsl4	FETAL_INTESTINE_GENES	ortholog_one2one	1	ACSL4:ENSG00000068366	include_primary
Acsm3	FETAL_INTESTINE_GENES;FETAL_SPHEROID_EPITHELIUM_GENES	ortholog_one2one	1	ACSM3:ENSG00000005187	include_primary
Acta2	REGENERATIVE_EPITHELIUM	ortholog_one2one	1	ACTA2:ENSG00000107796	include_primary
Actg1	REVIVAL_STEM_CELL_GENES	ortholog_one2one	1	ACTG1:ENSG00000184009	include_primary
Actg2	REGENERATIVE_EPITHELIUM	ortholog_one2one	1	ACTG2:ENSG00000163017	include_primary
Adam10	REVIVAL_STEM_CELL_GENES	ortholog_one2one	1	ADAM10:ENSG00000137845	include_primary
Adam15	FETAL_INTESTINE_GENES	ortholog_one2one	1	ADAM15:ENSG00000143537	include_primary
Adam28	FETAL_INTESTINE_GENES	ortholog_one2one	1	ADAM28:ENSG00000042980	include_primary
Adam32	FETAL_INTESTINE_GENES	ortholog_one2one	1	ADAM32:ENSG00000197140	include_primary
Adam8	YAP_SIGNALING_GENES	ortholog_one2one	1	ADAM8:ENSG00000151651	include_primary
Adam9	FETAL_SPHEROID_EPITHELIUM_GENES	ortholog_one2one	1	ADAM9:ENSG00000168615	include_primary
Adamdec1	REGENERATIVE_EPITHELIUM	ortholog_one2one	1	ADAMDEC1:ENSG00000134028	include_primary
Adamts1	REGENERATIVE_EPITHELIUM	ortholog_one2one	1	ADAMTS1:ENSG00000154734	include_primary
Adamts15	YAP_SIGNALING_GENES	ortholog_one2one	1	ADAMTS15:ENSG00000166106	include_primary
Adamtsl4	FETAL_INTESTINE_GENES;YAP_SIGNALING_GENES	ortholog_one2one	1	ADAMTSL4:ENSG00000143382	include_primary
Adm	YAP_SIGNALING_GENES	ortholog_one2one	1	ADM:ENSG00000148926	include_primary
Adm2	YAP_SIGNALING_GENES	ortholog_one2one	1	ADM2:ENSG00000128165	include_primary
Adora1	FETAL_INTESTINE_GENES	ortholog_one2one	1	ADORA1:ENSG00000163485	include_primary
Adssl1	FETAL_INTESTINE_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Aen	FETAL_SPHEROID_EPITHELIUM_GENES	ortholog_one2one	1	AEN:ENSG00000181026	include_primary
Af064781	YAP_SIGNALING_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Agfg2	FETAL_INTESTINE_GENES	ortholog_one2one	1	AGFG2:ENSG00000106351	include_primary
Agpat4	FETAL_INTESTINE_GENES	ortholog_one2one	1	AGPAT4:ENSG00000026652	include_primary
Agpat6	FETAL_INTESTINE_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Agps	FETAL_INTESTINE_GENES	ortholog_one2one	1	AGPS:ENSG00000018510	include_primary
Agrn	FETAL_INTESTINE_GENES	ortholog_one2one	1	AGRN:ENSG00000188157	include_primary
Agtpbp1	YAP_SIGNALING_GENES	ortholog_one2one	1	AGTPBP1:ENSG00000135049	include_primary
Ahi1	FETAL_INTESTINE_GENES	ortholog_one2one	1	AHI1:ENSG00000135541	include_primary
Ahnak	FETAL_INTESTINE_GENES;FETAL_SPHEROID_EPITHELIUM_GENES;REVIVAL_STEM_CELL_GENES;YAP_SIGNALING_GENES	ortholog_one2one	1	AHNAK:ENSG00000124942	include_primary
Ahnak2	FETAL_INTESTINE_GENES;YAP_SIGNALING_GENES	ortholog_one2one	1	AHNAK2:ENSG00000185567	include_primary
Ai467606	FETAL_SPHEROID_EPITHELIUM_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Aim1	FETAL_INTESTINE_GENES;FETAL_SPHEROID_EPITHELIUM_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Aim2	FETAL_INTESTINE_GENES	ortholog_one2one	1	AIM2:ENSG00000163568	include_primary
Ak1	FETAL_SPHEROID_EPITHELIUM_GENES	ortholog_one2one	1	AK1:ENSG00000106992	include_primary
Akap13	FETAL_SPHEROID_EPITHELIUM_GENES	ortholog_one2one	1	AKAP13:ENSG00000170776	include_primary
Akap2	YAP_SIGNALING_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Akap5	YAP_SIGNALING_GENES	ortholog_one2one	1	AKAP5:ENSG00000179841	include_primary
Akr1B10	FETAL_INTESTINE_GENES;FETAL_SPHEROID_EPITHELIUM_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Akr1B3	FETAL_SPHEROID_EPITHELIUM_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Akr1B8	FETAL_SPHEROID_EPITHELIUM_GENES;YAP_SIGNALING_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Akt3	FETAL_INTESTINE_GENES;REGENERATIVE_EPITHELIUM	ortholog_one2one	1	AKT3:ENSG00000117020	include_primary
Alcam	FETAL_INTESTINE_GENES;FETAL_SPHEROID_EPITHELIUM_GENES	ortholog_one2one	1	ALCAM:ENSG00000170017	include_primary
Aldh1A3	REGENERATIVE_EPITHELIUM	NOT_FOUND_IN_BIOMART	0		exclude
Aldh3A1	FETAL_INTESTINE_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Aldh3B1	FETAL_INTESTINE_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Aldh4A1	FETAL_INTESTINE_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Aldh6A1	REVIVAL_STEM_CELL_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Alkbh2	FETAL_INTESTINE_GENES	ortholog_one2one	1	ALKBH2:ENSG00000189046	include_primary
Als2Cr4	YAP_SIGNALING_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Ambp	FETAL_INTESTINE_GENES	ortholog_one2one	1	AMBP:ENSG00000106927	include_primary
Amer2	FETAL_INTESTINE_GENES	ortholog_one2one	1	AMER2:ENSG00000165566	include_primary
Amotl1	FETAL_INTESTINE_GENES;YAP_SIGNALING_GENES	ortholog_one2one	1	AMOTL1:ENSG00000166025	include_primary
Amotl2	FETAL_INTESTINE_GENES;YAP_SIGNALING_GENES	ortholog_one2one	1	AMOTL2:ENSG00000114019	include_primary
Anapc2	FETAL_INTESTINE_GENES	ortholog_one2one	1	ANAPC2:ENSG00000176248	include_primary
Angptl6	YAP_SIGNALING_GENES	ortholog_one2one	1	ANGPTL6:ENSG00000130812	include_primary
Ank3	FETAL_INTESTINE_GENES	ortholog_one2one	1	ANK3:ENSG00000151150	include_primary
Ankrd1	FETAL_INTESTINE_GENES	ortholog_one2one	1	ANKRD1:ENSG00000148677	include_primary
Ankrd22	FETAL_INTESTINE_GENES	ortholog_one2one	1	ANKRD22:ENSG00000152766	include_primary
Ankrd35	YAP_SIGNALING_GENES	ortholog_one2one	1	ANKRD35:ENSG00000198483	include_primary
Ankrd50	FETAL_INTESTINE_GENES	ortholog_one2one	1	ANKRD50:ENSG00000151458	include_primary
Anks3	FETAL_INTESTINE_GENES	ortholog_one2one	1	ANKS3:ENSG00000168096	include_primary
Ano1	FETAL_INTESTINE_GENES;YAP_SIGNALING_GENES	ortholog_one2one	1	ANO1:ENSG00000131620	include_primary
Anp32E	REVIVAL_STEM_CELL_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Antxr1	REGENERATIVE_EPITHELIUM	ortholog_one2one	1	ANTXR1:ENSG00000169604	include_primary
Antxr2	FETAL_INTESTINE_GENES	ortholog_one2one	1	ANTXR2:ENSG00000163297	include_primary
Anxa1	FETAL_INTESTINE_GENES;FETAL_SPHEROID_EPITHELIUM_GENES;REVIVAL_STEM_CELL_GENES;YAP_SIGNALING_GENES	ortholog_one2one	1	ANXA1:ENSG00000135046	include_primary
Anxa3	FETAL_INTESTINE_GENES;FETAL_SPHEROID_EPITHELIUM_GENES;YAP_SIGNALING_GENES	ortholog_one2one	1	ANXA3:ENSG00000138772	include_primary
Anxa4	FETAL_INTESTINE_GENES	ortholog_one2one	1	ANXA4:ENSG00000196975	include_primary
Anxa5	FETAL_INTESTINE_GENES;FETAL_SPHEROID_EPITHELIUM_GENES;YAP_SIGNALING_GENES	ortholog_one2one	1	ANXA5:ENSG00000164111	include_primary
Anxa6	FETAL_INTESTINE_GENES	ortholog_one2one	1	ANXA6:ENSG00000197043	include_primary
Anxa8	FETAL_INTESTINE_GENES;FETAL_SPHEROID_EPITHELIUM_GENES;YAP_SIGNALING_GENES	ambiguous	2	ANXA8:ENSG00000265190;ANXA8L1:ENSG00000264230	extended_ambiguous_only
Ap1G1	REVIVAL_STEM_CELL_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Ap1S3	FETAL_SPHEROID_EPITHELIUM_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Ap2B1	FETAL_INTESTINE_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Ap3M2	FETAL_INTESTINE_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Apbb1	FETAL_INTESTINE_GENES	ortholog_one2one	1	APBB1:ENSG00000166313	include_primary
Aph1B	FETAL_INTESTINE_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Aplp1	FETAL_INTESTINE_GENES	ortholog_one2one	1	APLP1:ENSG00000105290	include_primary
Aplp2	REVIVAL_STEM_CELL_GENES	ortholog_one2one	1	APLP2:ENSG00000084234	include_primary
Apol9A	YAP_SIGNALING_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Apol9B	YAP_SIGNALING_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Appl2	FETAL_INTESTINE_GENES	ortholog_one2one	1	APPL2:ENSG00000136044	include_primary
Aqp1	FETAL_INTESTINE_GENES	ortholog_one2one	1	AQP1:ENSG00000240583	include_primary
Aqp5	FETAL_INTESTINE_GENES	ortholog_one2one	1	AQP5:ENSG00000161798	include_primary
Aqp8	FETAL_INTESTINE_GENES	ortholog_one2one	1	AQP8:ENSG00000103375	include_primary
Arap1	FETAL_INTESTINE_GENES	ortholog_one2one	1	ARAP1:ENSG00000186635	include_primary
Arc	YAP_SIGNALING_GENES	ortholog_one2one	1	ARC:ENSG00000198576	include_primary
Arcn1	REVIVAL_STEM_CELL_GENES	ortholog_one2one	1	ARCN1:ENSG00000095139	include_primary
Areg	REVIVAL_STEM_CELL_GENES;YAP_SIGNALING_GENES	ortholog_one2one	1	AREG:ENSG00000109321	include_primary
Arf1	REVIVAL_STEM_CELL_GENES	ortholog_one2one	1	ARF1:ENSG00000143761	include_primary
Arfgef2	REVIVAL_STEM_CELL_GENES	ortholog_one2one	1	ARFGEF2:ENSG00000124198	include_primary
Arhgap12	REVIVAL_STEM_CELL_GENES	ortholog_one2one	1	ARHGAP12:ENSG00000165322	include_primary
Arhgap22	FETAL_INTESTINE_GENES;YAP_SIGNALING_GENES	ortholog_one2one	1	ARHGAP22:ENSG00000128805	include_primary
Arhgap23	FETAL_INTESTINE_GENES;YAP_SIGNALING_GENES	ortholog_one2one	1	ARHGAP23:ENSG00000275832	include_primary
Arhgap29	FETAL_INTESTINE_GENES;YAP_SIGNALING_GENES	ortholog_one2one	1	ARHGAP29:ENSG00000137962	include_primary
Arhgap40	FETAL_INTESTINE_GENES;YAP_SIGNALING_GENES	ortholog_one2one	1	ARHGAP40:ENSG00000124143	include_primary
Arhgap44	FETAL_INTESTINE_GENES;FETAL_SPHEROID_EPITHELIUM_GENES	ortholog_one2one	1	ARHGAP44:ENSG00000006740	include_primary
Arhgef17	YAP_SIGNALING_GENES	ortholog_one2one	1	ARHGEF17:ENSG00000110237	include_primary
Arhgef18	FETAL_INTESTINE_GENES	ortholog_one2one	1	ARHGEF18:ENSG00000104880	include_primary
Arhgef25	FETAL_INTESTINE_GENES	ortholog_one2one	1	ARHGEF25:ENSG00000240771	include_primary
Arhgef28	FETAL_INTESTINE_GENES;REVIVAL_STEM_CELL_GENES	ortholog_one2one	1	ARHGEF28:ENSG00000214944	include_primary
Arhgef3	FETAL_INTESTINE_GENES;FETAL_SPHEROID_EPITHELIUM_GENES	ortholog_one2one	1	ARHGEF3:ENSG00000163947	include_primary
Arhgef4	FETAL_SPHEROID_EPITHELIUM_GENES	NO_ORTHOLOG	0		exclude
Arid3A	YAP_SIGNALING_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Arid4A	REVIVAL_STEM_CELL_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Arid5A	YAP_SIGNALING_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Arl1	FETAL_SPHEROID_EPITHELIUM_GENES	ortholog_one2one	1	ARL1:ENSG00000120805	include_primary
Arl3	FETAL_INTESTINE_GENES	ortholog_one2one	1	ARL3:ENSG00000138175	include_primary
Arl4C	FETAL_INTESTINE_GENES;FETAL_SPHEROID_EPITHELIUM_GENES;YAP_SIGNALING_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Arl6	FETAL_INTESTINE_GENES	ortholog_one2one	1	ARL6:ENSG00000113966	include_primary
Arl6Ip5	FETAL_INTESTINE_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Armcx2	FETAL_INTESTINE_GENES	ortholog_one2one	1	ARMCX2:ENSG00000184867	include_primary
Armcx3	FETAL_INTESTINE_GENES	ortholog_one2one	1	ARMCX3:ENSG00000102401	include_primary
Arnt2	YAP_SIGNALING_GENES	ortholog_one2one	1	ARNT2:ENSG00000172379	include_primary
Arpc3	REVIVAL_STEM_CELL_GENES	ortholog_one2one	1	ARPC3:ENSG00000111229	include_primary
Arpc4	REVIVAL_STEM_CELL_GENES	ortholog_one2one	1	ARPC4:ENSG00000241553	include_primary
Arpp19	FETAL_INTESTINE_GENES	ortholog_one2one	1	ARPP19:ENSG00000128989	include_primary
Arsb	FETAL_INTESTINE_GENES	ortholog_one2one	1	ARSB:ENSG00000113273	include_primary
Art2A-Ps	REGENERATIVE_EPITHELIUM	NOT_FOUND_IN_BIOMART	0		exclude
Asah1	FETAL_INTESTINE_GENES	ortholog_one2one	1	ASAH1:ENSG00000104763	include_primary
Asap1	FETAL_INTESTINE_GENES;YAP_SIGNALING_GENES	ortholog_one2one	1	ASAP1:ENSG00000153317	include_primary
Asb1	FETAL_INTESTINE_GENES	ortholog_one2one	1	ASB1:ENSG00000065802	include_primary
Aspn	REGENERATIVE_EPITHELIUM	ortholog_one2one	1	ASPN:ENSG00000106819	include_primary
Ass1	FETAL_INTESTINE_GENES	ortholog_one2one	1	ASS1:ENSG00000130707	include_primary
Atf2	REVIVAL_STEM_CELL_GENES	ortholog_one2one	1	ATF2:ENSG00000115966	include_primary
Atf3	YAP_SIGNALING_GENES	ortholog_one2one	1	ATF3:ENSG00000162772	include_primary
Atg9B	FETAL_INTESTINE_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Atox1	FETAL_INTESTINE_GENES	ortholog_one2one	1	ATOX1:ENSG00000177556	include_primary
Atp11A	FETAL_INTESTINE_GENES;YAP_SIGNALING_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Atp11B	REVIVAL_STEM_CELL_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Atp1A1	REVIVAL_STEM_CELL_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Atp2B1	FETAL_INTESTINE_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Atp5G1	REVIVAL_STEM_CELL_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Atp6V0A1	FETAL_INTESTINE_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Atp6V0E2	FETAL_INTESTINE_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Atp6V1B2	FETAL_INTESTINE_GENES;REVIVAL_STEM_CELL_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Atp6V1F	FETAL_INTESTINE_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Atp9A	FETAL_INTESTINE_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Atxn10	FETAL_INTESTINE_GENES	ortholog_one2one	1	ATXN10:ENSG00000130638	include_primary
Avpi1	FETAL_SPHEROID_EPITHELIUM_GENES	ortholog_one2one	1	AVPI1:ENSG00000119986	include_primary
Aw112010	REGENERATIVE_EPITHELIUM	NOT_FOUND_IN_BIOMART	0		exclude
Axl	FETAL_INTESTINE_GENES	ortholog_one2one	1	AXL:ENSG00000167601	include_primary
Azgp1	FETAL_INTESTINE_GENES	ortholog_one2one	1	AZGP1:ENSG00000160862	include_primary
B4Galnt1	REGENERATIVE_EPITHELIUM	NOT_FOUND_IN_BIOMART	0		exclude
B9D1	FETAL_INTESTINE_GENES;FETAL_SPHEROID_EPITHELIUM_GENES	NOT_FOUND_IN_BIOMART	0		exclude
B9D2	FETAL_INTESTINE_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Bace1	FETAL_INTESTINE_GENES	ortholog_one2one	1	BACE1:ENSG00000186318	include_primary
Bace2	FETAL_INTESTINE_GENES	ortholog_one2one	1	BACE2:ENSG00000182240	include_primary
Baiap2	FETAL_INTESTINE_GENES;FETAL_SPHEROID_EPITHELIUM_GENES;REVIVAL_STEM_CELL_GENES;YAP_SIGNALING_GENES	ortholog_one2one	1	BAIAP2:ENSG00000175866	include_primary
Baiap2L1	FETAL_INTESTINE_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Barx2	FETAL_INTESTINE_GENES	ortholog_one2one	1	BARX2:ENSG00000043039	include_primary
Basp1	FETAL_SPHEROID_EPITHELIUM_GENES;REVIVAL_STEM_CELL_GENES;YAP_SIGNALING_GENES	ortholog_one2one	1	BASP1:ENSG00000176788	include_primary
Bax	FETAL_INTESTINE_GENES;FETAL_SPHEROID_EPITHELIUM_GENES	ortholog_one2one	1	BAX:ENSG00000087088	include_primary
Bbs10	FETAL_INTESTINE_GENES	ortholog_one2one	1	BBS10:ENSG00000179941	include_primary
Bbs4	FETAL_INTESTINE_GENES	ortholog_one2one	1	BBS4:ENSG00000140463	include_primary
Bbs9	FETAL_INTESTINE_GENES	ortholog_one2one	1	BBS9:ENSG00000122507	include_primary
Bbx	FETAL_INTESTINE_GENES	ortholog_one2one	1	BBX:ENSG00000114439	include_primary
Bcam	FETAL_INTESTINE_GENES;YAP_SIGNALING_GENES	ortholog_one2one	1	BCAM:ENSG00000187244	include_primary
Bcap31	REVIVAL_STEM_CELL_GENES	ortholog_one2one	1	BCAP31:ENSG00000185825	include_primary
Bcas1	FETAL_INTESTINE_GENES	ortholog_one2one	1	BCAS1:ENSG00000064787	include_primary
Bcat2	FETAL_INTESTINE_GENES	ortholog_one2one	1	BCAT2:ENSG00000105552	include_primary
Bcl2	FETAL_INTESTINE_GENES	ortholog_one2one	1	BCL2:ENSG00000171791	include_primary
Bcl2L1	FETAL_INTESTINE_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Bcl2L11	FETAL_INTESTINE_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Bcl9L	FETAL_INTESTINE_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Bdh2	FETAL_INTESTINE_GENES	ortholog_one2one	1	BDH2:ENSG00000164039	include_primary
Bdnf	FETAL_INTESTINE_GENES	ortholog_one2one	1	BDNF:ENSG00000176697	include_primary
Bex1	YAP_SIGNALING_GENES	ambiguous	2	BEX1:ENSG00000133169;BEX2:ENSG00000133134	extended_ambiguous_only
Bex2	FETAL_INTESTINE_GENES	ambiguous	2	BEX1:ENSG00000133169;BEX2:ENSG00000133134	extended_ambiguous_only
Bgn	REGENERATIVE_EPITHELIUM	ortholog_one2one	1	BGN:ENSG00000182492	include_primary
Bhlhb9	FETAL_INTESTINE_GENES	ortholog_one2one	1	GPRASP3:ENSG00000198908	include_primary
Bicc1	FETAL_INTESTINE_GENES	ortholog_one2one	1	BICC1:ENSG00000122870	include_primary
Bicd1	YAP_SIGNALING_GENES	ortholog_one2one	1	BICD1:ENSG00000151746	include_primary
Bicd2	FETAL_INTESTINE_GENES	ortholog_one2one	1	BICD2:ENSG00000185963	include_primary
Bid	FETAL_INTESTINE_GENES	ortholog_one2one	1	BID:ENSG00000015475	include_primary
Bik	FETAL_INTESTINE_GENES	ortholog_one2one	1	BIK:ENSG00000100290	include_primary
Bmf	FETAL_INTESTINE_GENES	ortholog_one2one	1	BMF:ENSG00000104081	include_primary
Bmp2	YAP_SIGNALING_GENES	ortholog_one2one	1	BMP2:ENSG00000125845	include_primary
Bmp4	FETAL_INTESTINE_GENES;REGENERATIVE_EPITHELIUM	ortholog_one2one	1	BMP4:ENSG00000125378	include_primary
Bmp5	REGENERATIVE_EPITHELIUM	ortholog_one2one	1	BMP5:ENSG00000112175	include_primary
Bmp8B	FETAL_INTESTINE_GENES;FETAL_SPHEROID_EPITHELIUM_GENES;YAP_SIGNALING_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Bnip2	FETAL_INTESTINE_GENES	ortholog_one2one	1	BNIP2:ENSG00000140299	include_primary
Bnip3L	FETAL_INTESTINE_GENES;REVIVAL_STEM_CELL_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Bok	FETAL_INTESTINE_GENES;FETAL_SPHEROID_EPITHELIUM_GENES	ortholog_one2one	1	BOK:ENSG00000176720	include_primary
Brcc3	REVIVAL_STEM_CELL_GENES	ambiguous	1	BRCC3:ENSG00000185515	extended_ambiguous_only
Brix1	REVIVAL_STEM_CELL_GENES	ortholog_one2one	1	BRIX1:ENSG00000113460	include_primary
Bsg	FETAL_INTESTINE_GENES	ortholog_one2one	1	BSG:ENSG00000172270	include_primary
Btbd11	FETAL_INTESTINE_GENES	NOT_FOUND_IN_BIOMART	0		exclude
Btg2	FETAL_SPHEROID_EPITHELIUM_GENES	ortholog_one2one	1	BTG2:ENSG00000159388	include_primary
Btn1A1	FETAL_INTESTINE_GENES;YAP_SIGNALING_GENES	NOT_FOUND_IN_BIOMART	0		exclude
C1Qtnf4	FETAL_INTESTINE_GENES	NOT_FOUND_IN_BIOMART	0		exclude
C1S1	REGENERATIVE_EPITHELIUM	NOT_FOUND_IN_BIOMART	0		exclude
C2	FETAL_INTESTINE_GENES	ortholog_one2one	1	C2:ENSG00000166278	include_primary
